#mpa_vJan26_CHOCOPhlAnSGB_202605
#metaphlan --read_min_len 30 --input_type fastq L224/ERR4670283_1.trimmed.fastq.gz,L224/ERR4670283_2.trimmed.fastq.gz --mapout L224/L224_metaphlan.Jan26.bowtie2.bz2 --nproc 12 --index mpa_vJan26_CHOCOPhlAnSGB_202605 --db_dir metaphlan/Jan26/ --output_file L224/L224.metaphlan.Jan26.tsv --samout L224/L224_metaphlan.Jan26.sam.bz2 --min_mapq_val 30
#906739356 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	0.002309	
k__Bacteria|p__Firmicutes|c__CFGB84772	2|1239|	0.002093	
k__Bacteria|p__Pseudomonadota|c__CFGB2404	2|1224|	0.001936	
k__Bacteria|p__Firmicutes|c__CFGB2954	2|1239|	0.001905	
k__Bacteria|p__Firmicutes|c__CFGB81848	2|1239|	0.001853	
k__Bacteria|p__Bacteroidota|c__CFGB511	2|976|	0.001767	
k__Bacteria|p__Firmicutes|c__CFGB2839	2|1239|	0.00166	
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.001569	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.001428	
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	0.001408	
k__Bacteria|p__Bacteroidota|c__CFGB4405	2|976|	0.001376	
k__Bacteria|p__Firmicutes|c__CFGB3026	2|1239|	0.001375	
k__Bacteria|p__Bacteroidota|c__CFGB77217	2|976|	0.001322	
k__Bacteria|p__Firmicutes|c__CFGB10312	2|1239|	0.001241	
k__Bacteria|p__Firmicutes|c__CFGB2867	2|1239|	0.001228	
k__Bacteria|p__Bacteroidota|c__CFGB11391	2|976|	0.001172	
k__Bacteria|p__Firmicutes|c__CFGB10021	2|1239|	0.001097	
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	0.001018	
k__Bacteria|p__Firmicutes|c__CFGB84649	2|1239|	0.001018	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.000993	
k__Bacteria|p__Armatimonadota|c__CFGB58712	2|67819|	0.000989	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.000976	
k__Bacteria|p__Bacteroidota|c__CFGB77894	2|976|	0.000802	
k__Bacteria|p__Actinomycetota|c__CFGB11649	2|201174|	0.000734	
k__Bacteria|p__Firmicutes|c__CFGB10318	2|1239|	0.000732	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.000732	
k__Bacteria|p__Mycoplasmatota|c__Mollicutes	2|544448|31969	0.000682	
k__Bacteria|p__Actinomycetota|c__CFGB10097	2|201174|	0.000549	
k__Bacteria|p__Firmicutes|c__CFGB78465	2|1239|	0.000549	
k__Bacteria|p__Firmicutes|c__CFGB79315	2|1239|	0.000545	
k__Bacteria|p__Firmicutes|c__CFGB1298	2|1239|	0.000502	
k__Bacteria|p__Bacteroidota|c__CFGB7536	2|976|	0.000498	
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.000496	
k__Bacteria|p__Chloroflexota|c__CFGB94700	2|200795|	0.00048	
k__Bacteria|p__Firmicutes|c__CFGB2837	2|1239|	0.000461	
k__Bacteria|p__Firmicutes|c__CFGB49311	2|1239|	0.000455	
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.000431	
k__Bacteria|p__Planctomycetota|c__Planctomycetia	2|203682|203683	0.000412	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.000365	
k__Bacteria|p__Firmicutes|c__CFGB1772	2|1239|	0.000364	
k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadia	2|142182|219685	0.000351	
k__Bacteria|p__Firmicutes|c__CFGB8140	2|1239|	0.000319	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.000301	
k__Bacteria|p__Firmicutes|c__CFGB84065	2|1239|	0.000283	
k__Bacteria|p__Firmicutes|c__CFGB4788	2|1239|	0.000282	
k__Bacteria|p__Campylobacterota|c__CFGB8430	2|29547|	0.000273	
k__Bacteria|p__Firmicutes|c__CFGB78699	2|1239|	0.000253	
k__Bacteria|p__Pseudomonadota|c__CFGB8587	2|1224|	0.000252	
k__Bacteria|p__Firmicutes|c__CFGB78560	2|1239|	0.000246	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.000201	
k__Bacteria|p__Acidobacteriota|c__Terriglobia	2|57723|204432	0.000192	
k__Bacteria|p__Bacteroidota|c__CFGB9414	2|976|	0.000188	
k__Bacteria|p__Bacteroidota|c__CFGB629	2|976|	0.000185	
k__Bacteria|p__Bacteroidota|c__Chitinophagia	2|976|1853228	0.000181	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.000162	
k__Bacteria|p__Firmicutes|c__CFGB1201	2|1239|	0.000159	
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.000157	
k__Bacteria|p__Firmicutes|c__CFGB4655	2|1239|	0.000146	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4365	2|95818|	0.000144	
k__Bacteria|p__Firmicutes|c__CFGB1470	2|1239|	0.000142	
k__Bacteria|p__Firmicutes|c__CFGB36983	2|1239|	0.000123	
k__Bacteria|p__Firmicutes|c__CFGB9272	2|1239|	0.000114	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	8.4e-05	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	8e-05	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae	2|1117|3028117	7.9e-05	
k__Bacteria|p__Nitrospirota|c__Nitrospiria	2|40117|203693	7.8e-05	
k__Bacteria|p__Firmicutes|c__CFGB330	2|1239|	7e-05	
k__Bacteria|p__Firmicutes|c__CFGB77455	2|1239|	5.8e-05	
k__Bacteria|p__Firmicutes|c__CFGB1218	2|1239|	5.4e-05	
k__Bacteria|p__Firmicutes|c__CFGB2873	2|1239|	4.3e-05	
k__Bacteria|p__Bacteroidota|c__CFGB46534	2|976|	1.8e-05	
k__Bacteria|p__Firmicutes|c__CFGB8331	2|1239|	4e-06	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales	2|1239|186801|3082720	14.752229	
